unigram	frequency
maid	19
vessel	19
temple	19
fond	19
topmost	19
blame	19
likely	19
hurt	19
forced	19
favour	19
dropped	19
skilled	19
daybreak	19
stretched	19
drawing	19
luck	19
frightened	19
pride	19
small	19
axes	19
eurypylus	19
councillors	19
suffering	19
deed	19
length	19
coward	19
gives	19
grieve	19
couch	19
monster	19
endowed	19
choose	19
regards	19
utterly	19
feared	19
sandals	18
mt	18
woe	18
trial	18
common	18
abundance	18
creature	18
smiled	18
camp	18
suppose	18
urge	18
paid	18
idaeus	18
oars	18
phthia	18
treated	18
cloaks	18
ate	18
insolence	18
tower	18
flock	18
grown	18
cups	18
quarter	18
mares	18
bath	18
corpses	18
inner	18
springs	18
smoke	18
raiment	18
kings	18
finest	18
leader	18
five	18
linen	18
wear	18
bull	18
beaten	18
floor	18
accept	18
power	18
escaped	18
older	18
upper	18
archer	18
pleasure	18
crest	18
check	18
younger	18
olive	18
deeds	18
exclaimed	18
redoubtable	18
marvelled	18
asius	18
addressed	18
fed	18
prayers	17
upstairs	17
mistress	17
furthermore	17
cold	17
sides	17
wing	17
foes	17
satisfied	17
shook	17
service	17
sees	17
worn	17
overcome	17
persuade	17
fourth	17
felt	17
laughed	17
thence	17
beheld	17
darts	17
shout	17
spits	17
begging	17
girdle	17
paying	17
dying	17
grieving	17
road	17
rate	17
song	17
hidden	17
onward	17
barrow	17
strike	17
kinds	17
rank	17
joy	17
vaunted	17
lacedaemon	17
jaws	17
gerene	17
failed	17
dismayed	17
richly	17
utmost	17
sire	17
hate	17
fray	17
comfort	17
cyclops	17
thebes	17
gate	16
command	16
crete	16
pursuit	16
legs	16
journey	16
spare	16
rags	16
stockman	16
heralds	16
mount	16
machaon	16
feed	16
chosen	16
purple	16
abode	16
fit	16
defence	16
stricken	16
pointed	16
weep	16
teiresias	16
hurried	16
move	16
belt	16
array	16
calling	16
foreign	16
autolycus	16
shouting	16
morrow	16
madam	16
growing	16
guardian	16
north	16
spoil	16
famed	16
hecatomb	16
afterwards	16
shoot	16
dry	16
rising	16
shirts	16
false	16
medon	16
confusion	16
yoked	16
account	16
behold	16
soft	16
demodocus	16
guide	16
holy	16
danger	16
suppliant	16
hospitality	16
seemed	16
urged	16
named	16
cauldron	16
scylla	16
thrust	16
kissed	16
seas	16
deadly	16
robe	16
everywhere	16
believe	16
waited	16
followers	16
stuck	16
asleep	16
herd	16
tripod	16
treat	16
shod	16
trust	16
putting	15
sharp	15
agenor	15
hid	15
refuse	15
wanting	15
except	15
sends	15
hearted	15
dardanus	15
fain	15
tired	15
roof	15
soldier	15
